state_code,state_name,district_code,district_name
100006,All States,100007,All Districts
32,Telangana,565,Adilabad
19,Madhya Pradesh,287,Agar Malwa
34,Uttar Pradesh,586,Agra
11,Gujarat,131,Ahmedabad
20,Maharashtra,338,Ahmednagar
23,Mizoram,397,Aizawl
29,Rajasthan,475,Ajmer
20,Maharashtra,339,Akola
17,Kerala,270,Alappuzha
34,Uttar Pradesh,587,Aligarh
36,West Bengal,674,Alipurduar
19,Madhya Pradesh,288,Alirajpur
17,Kerala,271,Alleppey
2,Andhra Pradesh,710,Alluri Sitharama Raju
35,Uttarakhand,660,Almora
29,Rajasthan,476,Alwar
20,Maharashtra,340,Amarawati
12,Haryana,165,Ambala
34,Uttar Pradesh,588,Ambedkarnagar
34,Uttar Pradesh,589,Amethi
11,Gujarat,132,Amreli
28,Punjab,452,Amritsar
34,Uttar Pradesh,590,Amroha
2,Andhra Pradesh,714,Anakapalli
11,Gujarat,133,Anand
2,Andhra Pradesh,4,Anantapur
14,Jammu and Kashmir,199,Anantnag
26,Odisha,415,Angul
2,Andhra Pradesh,709,Annamayya
29,Rajasthan,477,Anupgarh
19,Madhya Pradesh,289,Anupur
5,Bihar,55,Araria
11,Gujarat,134,Aravalli 
31,Tamil Nadu,527,Ariyalur
5,Bihar,56,Arwal
19,Madhya Pradesh,290,Ashoknagar
34,Uttar Pradesh,591,Auraiya
5,Bihar,57,Aurangabad
34,Uttar Pradesh,592,Ayodhya
34,Uttar Pradesh,593,Azamgarh
34,Uttar Pradesh,594,Badaun
19,Madhya Pradesh,291,Badwani
16,Karnataka,242,Bagalkot
35,Uttarakhand,661,Bageshwar
34,Uttar Pradesh,595,Baghpat
34,Uttar Pradesh,596,Bahraich
19,Madhya Pradesh,292,Balaghat
26,Odisha,416,Balasore
34,Uttar Pradesh,597,Ballia
7,Chattisgarh,95,Balod
7,Chattisgarh,96,Balodabazar
29,Rajasthan,478,Balotra
34,Uttar Pradesh,598,Balrampur
7,Chattisgarh,97,Balrampur
11,Gujarat,135,Banaskanth
34,Uttar Pradesh,599,Banda
14,Jammu and Kashmir,201,Bandipora
20,Maharashtra,341,Bandra(E)
16,Karnataka,243,Bangalore
5,Bihar,58,Banka
36,West Bengal,675,Bankura
29,Rajasthan,479,Banswara
2,Andhra Pradesh,716,Bapatla
34,Uttar Pradesh,600,Barabanki
14,Jammu and Kashmir,202,Baramulla
29,Rajasthan,480,Baran
34,Uttar Pradesh,601,Bareilly
26,Odisha,417,Bargarh
29,Rajasthan,481,Barmer
28,Punjab,453,Barnala
4,Assam,31,Barpeta
7,Chattisgarh,98,Bastar
34,Uttar Pradesh,602,Basti
29,Rajasthan,482,Beawar
20,Maharashtra,342,Beed
5,Bihar,59,Begusarai
16,Karnataka,244,Belgaum
16,Karnataka,245,Bellary
7,Chattisgarh,99,Bemetara
26,Odisha,418,Berhampur
19,Madhya Pradesh,293,Betul
34,Uttar Pradesh,603,Bhadohi(Sant Ravi Nagar)
32,Telangana,704,Bhadradri Kothagudem
26,Odisha,419,Bhadrak
5,Bihar,60,Bhagalpur
20,Maharashtra,343,Bhandara
29,Rajasthan,483,Bharatpur
11,Gujarat,136,Bharuch
28,Punjab,454,Bhatinda
11,Gujarat,137,Bhavnagar
29,Rajasthan,484,Bhilwara
19,Madhya Pradesh,294,Bhind
12,Haryana,166,Bhiwani
5,Bihar,61,Bhojpur
19,Madhya Pradesh,295,Bhopal
26,Odisha,420,Bhubaneswar
16,Karnataka,246,Bidar
7,Chattisgarh,100,Bijapur
16,Karnataka,247,Bijapur
34,Uttar Pradesh,604,Bijnor
29,Rajasthan,485,Bikaner
7,Chattisgarh,101,Bilaspur
13,Himachal Pradesh,186,Bilaspur
36,West Bengal,676,Birbhum
21,Manipur,375,Bishnupur
15,Jharkhand,220,Bokaro
26,Odisha,421,Bolangir
4,Assam,32,Bongaigaon
11,Gujarat,138,Botad
26,Odisha,422,Boudh
14,Jammu and Kashmir,200,Budgam
34,Uttar Pradesh,605,Bulandshahar
20,Maharashtra,344,Buldhana
29,Rajasthan,486,Bundi
36,West Bengal,677,Burdwan
19,Madhya Pradesh,296,Burhanpur
5,Bihar,62,Buxar
4,Assam,33,Cachar
17,Kerala,272,Calicut
13,Himachal Pradesh,187,Chamba
35,Uttarakhand,662,Chamoli (Gopeshwar)
35,Uttarakhand,663,Champawat
16,Karnataka,248,Chamrajnagar
34,Uttar Pradesh,606,Chandauli
21,Manipur,376,Chandel
6,Chandigarh,94,Chandigarh
20,Maharashtra,345,Chandrapur
3,Arunachal Pradesh,17,Changlang
15,Jharkhand,221,Chatra
20,Maharashtra,346,Chattrapati Sambhajinagar
31,Tamil Nadu,528,Chengalpattu
31,Tamil Nadu,529,Chennai
5,Bihar,63,Chhapra
19,Madhya Pradesh,297,Chhatarpur
19,Madhya Pradesh,298,Chhindwara
11,Gujarat,139,Chhota Udaipur
16,Karnataka,249,Chikmagalur
16,Karnataka,250,Chitradurga
34,Uttar Pradesh,607,Chitrakut
2,Andhra Pradesh,5,Chittor
29,Rajasthan,487,Chittorgarh
21,Manipur,377,Churachandpur
29,Rajasthan,488,Churu
31,Tamil Nadu,530,Coimbatore
36,West Bengal,678,Coochbehar
31,Tamil Nadu,531,Cuddalore
2,Andhra Pradesh,6,Cuddapah
26,Odisha,423,Cuttack
8,Dadra and Nagar Haveli,125,Dadra & Nagar Haveli
11,Gujarat,140,Dahod
36,West Bengal,679,Dakshin Dinajpur
9,Daman and Diu,127,Daman
19,Madhya Pradesh,299,Damoh
11,Gujarat,141,Dang
7,Chattisgarh,102,Dantewada
5,Bihar,64,Darbhanga
36,West Bengal,680,Darjeeling
4,Assam,34,Darrang
19,Madhya Pradesh,300,Datia
29,Rajasthan,489,Dausa
16,Karnataka,251,Davangere
29,Rajasthan,490,Deedwana Kuchaman
29,Rajasthan,491,Deeg
35,Uttarakhand,664,Dehradoon
25,NCT of Delhi,414,Delhi
15,Jharkhand,222,Deogarh
26,Odisha,424,Deogarh
34,Uttar Pradesh,608,Deoria
11,Gujarat,142,Devbhumi Dwarka
19,Madhya Pradesh,301,Dewas
33,Tripura,578,Dhalai
7,Chattisgarh,103,Dhamtari
